"PlayerName","Club","Position","PositionType","DoB","Age","IPOPrice","IPODate","CurrentPrice"
"Remi Walter","OGC Nice","Midfield","Defensive Midfielder/ Wingback","26/04/1995","24","£0.28","13/11/2017","£0.29"
"Michal Krmencik","Plzeň","Forward","Centre Forward","15/03/1993","26","£0.28","13/11/2017","£0.29"
"Dmitriy Shomko","Astana","Goalkeeper/ Defender","Full back","19/03/1990","29","£0.28","13/11/2017","£0.29"
"Aaron Hunt","Hamburg","Midfield","Attacking Midfielder/ Winger","04/09/1986","32","£0.28","13/11/2017","£0.29"
"Aymen Abdennour","Marseille","Goalkeeper/ Defender","Centre Back","06/08/1989","30","£0.28","13/11/2017","£0.29"
"Salomon Kalou","Hertha","Midfield","Attacking Midfielder/ Winger","05/08/1985","34","£0.13","13/11/2017","£0.29"
"Marcos Rojo","Man United","Goalkeeper/ Defender","Full back","20/03/1990","29","£0.20","14/11/2017","£0.29"
"Vincent Koziello","OGC Nice","Midfield","Central Midfielder","28/10/1995","23","£0.23","15/11/2017","£0.29"
"Winston Reid","West Ham United","Goalkeeper/ Defender","Centre Back","03/07/1988","31","£0.23","15/11/2017","£0.28"
"Benoit Costil","Bordeaux","Goalkeeper/ Defender","Goalkeeper","03/07/1987","32","£0.17","15/11/2017","£0.28"
"Jeison Murillo","Barcelona","Goalkeeper/ Defender","Centre Back","27/05/1992","27","£0.27","17/11/2017","£0.29"
"Danilo Pereira","Porto","Midfield","Defensive Midfielder/ Wingback","09/09/1991","27","£0.23","17/11/2017","£0.28"
"Karol Linetty","Sampdoria","Midfield","Central Midfielder","02/02/1995","24","£0.13","17/11/2017","£0.29"
"Franco Vazquez","Sevilla","Midfield","Attacking Midfielder/ Winger","22/02/1989","30","£0.20","17/11/2017","£0.28"
"Clinton N'Jie","Marseille","Forward","Second Striker/ Winger","15/08/1993","26","£0.27","20/11/2017","£0.29"
"Alessio Cragno","Cagliari","Goalkeeper/ Defender","Goalkeeper","28/06/1994","25","£0.13","20/11/2017","£0.29"
"Nacer Chadli","AS Monaco","Midfield","Attacking Midfielder/ Winger","02/08/1989","30","£0.27","22/11/2017","£0.29"
"Juan Iturbe","Roma","Forward","Centre Forward","04/06/1993","26","£0.27","22/11/2017","£0.28"
"Mat Ryan","Brighton","Goalkeeper/ Defender","Goalkeeper","08/04/1992","27","£0.17","22/11/2017","£0.29"
"Nampalys Mendy","Leicester City","Midfield","Defensive Midfielder/ Wingback","23/06/1992","27","£0.23","23/11/2017","£0.28"
"Vicente Iborra","Villarreal","Midfield","Central Midfielder","16/01/1988","31","£0.23","23/11/2017","£0.29"
"Federico Di Francesco","Sassuolo","Forward","Second Striker/ Winger","14/06/1994","25","£0.20","23/11/2017","£0.33"
"Jeremy Toljan","Celtic","Goalkeeper/ Defender","Full back","08/08/1994","25","£0.20","29/11/2017","£0.29"
"Anastasios Donis","Stuttgart","Forward","Second Striker/ Winger","29/08/1996","22","£0.17","29/11/2017","£0.30"
"Junior Stanislas","Bournemouth","Midfield","Attacking Midfielder/ Winger","26/11/1989","29","£0.27","30/11/2017","£0.29"
"Yeray Alvarez","Ath Bilbao","Goalkeeper/ Defender","Centre Back","24/01/1995","24","£0.20","30/11/2017","£0.29"
"Nikola Kalinic","Atlético Madrid","Forward","Centre Forward","05/01/1988","31","£0.27","01/12/2017","£0.32"
"Oumar Niasse","Cardiff City","Forward","Second Striker/ Winger","18/04/1990","29","£0.27","01/12/2017","£0.29"
"Alessandro Plizzari","AC Milan","Goalkeeper/ Defender","Goalkeeper","12/03/2000","19","£0.10","01/12/2017","£0.29"
"Adama Diakhaby","Huddersfield","Forward","Second Striker/ Winger","05/07/1996","23","£0.20","07/12/2017","£0.27"
"James Forrest","Celtic","Midfield","Attacking Midfielder/ Winger","07/07/1991","28","£0.17","08/12/2017","£0.30"
"Jese Rodriguez","Betis","Forward","Second Striker/ Winger","26/02/1993","26","£0.27","13/12/2017","£0.29"
"Lee Seung-Woo","Verona","Forward","Second Striker/ Winger","06/01/1998","21","£0.13","20/12/2017","£0.29"
"Vlad Dragomir","Arsenal","Midfield","Attacking Midfielder/ Winger","24/04/1999","20","£0.13","20/12/2017","£0.29"
"Felix Passlack","Hoffenheim","Goalkeeper/ Defender","Full back","29/05/1998","21","£0.17","21/12/2017","£0.28"
"Jordan Amavi","Marseille","Goalkeeper/ Defender","Full back","09/03/1994","25","£0.20","04/01/2018","£0.29"
"Christian Fruchtl","Bayern Munich","Goalkeeper/ Defender","Goalkeeper","28/01/2000","19","£0.10","10/01/2018","£0.29"
"German Pezzella","Fiorentina","Goalkeeper/ Defender","Centre Back","27/06/1991","28","£0.23","12/01/2018","£0.29"
"Felipe Caicedo","Lazio","Forward","Centre Forward","05/09/1988","30","£0.23","24/01/2018","£0.30"
"Ante Budimir","Sampdoria","Forward","Centre Forward","22/07/1991","28","£0.20","31/01/2018","£0.28"
"Vicente Guaita","Crystal Palace","Goalkeeper/ Defender","Goalkeeper","10/01/1987","32","£0.17","06/02/2018","£0.29"
"Valentin Rosier","Dijon","Goalkeeper/ Defender","Full back","19/08/1996","23","£0.20","07/02/2018","£0.27"
"Ludwig Augustinsson","Werder Bremen","Goalkeeper/ Defender","Full back","21/04/1994","25","£0.20","19/02/2018","£0.30"
"Julio Tavares","Dijon","Forward","Second Striker/ Winger","19/11/1988","30","£0.13","22/02/2018","£0.27"
"Sergio Cordova","Augsburg","Forward","Attacking Midfielder/ Winger","09/08/1997","22","£0.17","06/03/2018","£0.27"
"Palko Dardai","Hertha","Forward","Second Striker/ Winger","24/04/1999","20","£0.13","07/03/2018","£0.29"
"Ismaily","Shakhtar Donetsk","Goalkeeper/ Defender","Full back","11/01/1990","29","£0.20","04/05/2018","£0.29"
"Ben Foster","Watford","Goalkeeper/ Defender","Goalkeeper","03/04/1983","36","£0.10","04/05/2018","£0.27"
"Matz Sels","Strasbourg","Goalkeeper/ Defender","Goalkeeper","26/02/1992","27","£0.08","11/05/2018","£0.30"
"Fabricio Bustos","Other","Goalkeeper/ Defender","Full back","28/04/1996","23","£0.10","14/05/2018","£0.28"
"Lukas Muhl","1. FC Nürnberg","Goalkeeper/ Defender","Centre Back","27/01/1997","22","£0.27","03/09/2018","£0.29"
"Miha Zajc","Empoli","Midfield","Central Midfielder","01/07/1994","25","£0.27","04/09/2018","£0.29"
"Riccardo Gagliolo","Parma","Goalkeeper/ Defender","Centre Back","28/04/1990","29","£0.27","05/09/2018","£0.29"
"Alex Alegria","Rayo Vallecano","Forward","Centre Forward","10/10/1992","26","£0.17","10/09/2018","£0.26"
"Craig Cathcart","Watford","Goalkeeper/ Defender","Centre Back","06/02/1989","30","£0.27","14/09/2018","£0.28"
"Okay Yokuslu","Celta","Midfield","Defensive Midfielder/ Wingback","09/03/1994","25","£0.20","14/09/2018","£0.28"
"Kortney Hause","Wolves","Goalkeeper/ Defender","Centre Back","16/07/1995","24","£0.20","14/09/2018","£0.29"
"Davide Biraschi","Genoa","Goalkeeper/ Defender","Centre Back","02/07/1994","25","£0.27","27/09/2018","£0.30"
"Lukasz Skorupski","Bologna","Goalkeeper/ Defender","Goalkeeper","05/05/1991","28","£0.23","05/10/2018","£0.29"
"Thomas Murg","SK Rapid Wien","Midfield","Attacking Midfielder/ Winger","14/11/1994","24","£0.27","16/10/2018","£0.29"
"Jean Seri","Fulham","Midfield","Central Midfielder","19/07/1991","28","£0.08","","£0.29"
"Radamel Falcao","AS Monaco","Forward","Centre Forward","10/02/1986","33","£0.08","","£0.32"
"Chris Smalling","Man United","Goalkeeper/ Defender","Centre Back","22/11/1989","29","£0.08","","£0.29"
"Nuri Sahin","Werder Bremen","Midfield","Central Midfielder","05/09/1988","30","£0.20","02/11/2017","£0.33"
"Erik Pieters","Amiens","Goalkeeper/ Defender","Full back","07/08/1988","31","£0.17","03/11/2017","£0.27"
"Mattia Destro","Bologna","Forward","Centre Forward","20/03/1991","28","£0.23","06/11/2017","£0.28"
"Fernando Pacheco","Alaves","Goalkeeper/ Defender","Goalkeeper","18/05/1992","27","£0.13","07/11/2017","£0.29"
"Leroy Fer","Swansea","Midfield","Central Midfielder","05/01/1990","29","£0.27","08/11/2017","£0.28"
"Danilo D'Ambrosio","Internazionale","Goalkeeper/ Defender","Full back","09/09/1988","30","£0.20","10/11/2017","£0.30"
"Gianmarco Ferrari","Sassuolo","Goalkeeper/ Defender","Centre Back","15/02/1992","27","£0.17","14/11/2017","£0.27"
"Valon Berisha","Lazio","Midfield","Attacking Midfielder/ Winger","07/02/1993","26","£0.10","15/11/2017","£0.29"
"Leonardo Bittencourt","Hoffenheim","Midfield","Attacking Midfielder/ Winger","19/12/1993","25","£0.20","16/11/2017","£0.26"
"Victor Moses","Fenerbahçe","Midfield","Attacking Midfielder/ Winger","12/12/1990","28","£0.23","17/11/2017","£0.28"
"Nicolas Gaitan","Atlético Madrid","Midfield","Attacking Midfielder/ Winger","23/02/1988","31","£0.27","17/11/2017","£0.28"
"Lewis Holtby","Hamburg","Midfield","Attacking Midfielder/ Winger","18/09/1990","28","£0.27","20/11/2017","£0.28"
"Alen Halilovic","AC Milan","Midfield","Attacking Midfielder/ Winger","18/06/1996","23","£0.20","22/11/2017","£0.27"
"Dedryck Boyata","Celtic","Goalkeeper/ Defender","Centre Back","28/11/1990","28","£0.17","23/11/2017","£0.28"
"Ignacio Camacho","Wolfsburg","Midfield","Defensive Midfielder/ Wingback","04/05/1990","29","£0.23","27/11/2017","£0.28"
"Theo Bongonda","Celta","Midfield","Attacking Midfielder/ Winger","20/11/1995","23","£0.13","27/11/2017","£0.27"
"Lars Bender","Leverkusen","Midfield","Defensive Midfielder/ Wingback","27/04/1989","30","£0.23","29/11/2017","£0.28"
"Ruben Sobrino","Valencia","Forward","Centre Forward","01/06/1992","27","£0.17","01/12/2017","£0.28"
"Chadrac Akolo","Stuttgart","Midfield","Attacking Midfielder/ Winger","01/04/1995","24","£0.17","06/12/2017","£0.29"
"Steve Mounie","Huddersfield","Forward","Centre Forward","29/09/1994","24","£0.23","13/12/2017","£0.26"
"Gerson","Fiorentina","Midfield","Central Midfielder","20/05/1997","22","£0.20","19/12/2017","£0.28"
"Joselu","Newcastle United","Forward","Centre Forward","27/03/1990","29","£0.23","21/12/2017","£0.34"
"Orji Okwonkwo","Bologna","Forward","Centre Forward","19/01/1998","21","£0.17","03/01/2018","£0.28"
"Samir Santos","Udinese","Goalkeeper/ Defender","Centre Back","05/12/1994","24","£0.27","08/01/2018","£0.30"
"Lukas Klunter","Hertha","Goalkeeper/ Defender","Full back","26/05/1996","23","£0.20","08/01/2018","£0.29"
"Robin Hack","Hoffenheim","Forward","Second Striker/ Winger","27/08/1998","20","£0.20","23/01/2018","£0.28"
"Mathias Jorgensen","Huddersfield","Goalkeeper/ Defender","Centre Back","23/04/1990","29","£0.27","02/02/2018","£0.28"
"Cristhian Stuani","Girona","Forward","Centre Forward","12/10/1986","32","£0.13","05/02/2018","£0.27"
"Regis Gurtner","Amiens","Goalkeeper/ Defender","Goalkeeper","08/12/1986","32","£0.17","05/02/2018","£0.29"
"Kenan Karaman","Fortuna Düsseldorf","Midfield","Attacking Midfielder/ Winger","05/03/1994","25","£0.17","07/02/2018","£0.42"
"Bassem Srarfi","OGC Nice","Midfield","Attacking Midfielder/ Winger","25/06/1997","22","£0.13","12/02/2018","£0.28"
"Nacho Vidal","Valencia","Goalkeeper/ Defender","Full back","24/01/1995","24","£0.13","12/02/2018","£0.27"
"Charlie Taylor","Burnley","Goalkeeper/ Defender","Full back","18/09/1993","25","£0.17","28/02/2018","£0.25"
"Danilo Barbosa","OGC Nice","Midfield","Defensive Midfielder/ Wingback","28/02/1996","23","£0.20","09/03/2018","£0.27"
"Oghenekaro Etebo","Las Palmas","Midfield","Attacking Midfielder/ Winger","09/11/1995","23","£0.10","31/05/2018","£0.26"
"Pablo Chavarria","Reims","Forward","Second Striker/ Winger","02/01/1988","31","£0.23","29/08/2018","£0.28"
"Nolan Mbemba","Reims","Midfield","Defensive Midfielder/ Wingback","19/02/1995","24","£0.23","29/08/2018","£0.28"
"Anthony Briancon","Nîmes","Goalkeeper/ Defender","Centre Back","28/11/1994","24","£0.23","30/08/2018","£0.27"
"Anderson-Lenda Lucoqui","Fortuna Düsseldorf","Goalkeeper/ Defender","Full back","06/07/1997","22","£0.23","31/08/2018","£0.28"
"Samuel Mraz","Empoli","Forward","Centre Forward","13/05/1997","22","£0.27","04/09/2018","£0.28"
"Toni Villa","Real Valladolid","Midfield","Attacking Midfielder/ Winger","07/01/1995","24","£0.20","11/09/2018","£0.28"
"Omar Colley","Sampdoria","Goalkeeper/ Defender","Centre Back","24/10/1992","26","£0.27","12/09/2018","£0.28"
"Sergi Guardiola","Real Valladolid","Forward","Centre Forward","29/05/1991","28","£0.23","13/09/2018","£0.30"
"Ambroise Oyongo","Montpellier","Goalkeeper/ Defender","Full back","22/06/1991","28","£0.27","05/10/2018","£0.30"
"Christian Luyindama","Galatasaray","Goalkeeper/ Defender","Centre Back","08/01/1994","25","£0.23","26/10/2018","£0.26"
"Pizzi","Benfica","Midfield","Central Midfielder","06/10/1989","29","£0.20","19/11/2018","£0.28"
"Tono","Levante","Goalkeeper/ Defender","Full back","07/11/1989","29","£0.27","23/01/2019","£0.28"
"Jermain Defoe","Bournemouth","Forward","Centre Forward","07/10/1982","36","£0.08","","£0.29"
"Artem Dzyuba","Zenit","Forward","Centre Forward","22/08/1988","30","£0.03","01/11/2017","£0.29"
"Juanfran","Leganes","Goalkeeper/ Defender","Full back","11/09/1988","30","£0.27","02/11/2017","£0.27"
"Leighton Baines","Everton","Goalkeeper/ Defender","Full back","11/12/1984","34","£0.27","03/11/2017","£0.27"
"David Zurutuza","Real Sociedad","Midfield","Attacking Midfielder/ Winger","19/07/1986","33","£0.27","03/11/2017","£0.27"
"Adil Rami","Marseille","Goalkeeper/ Defender","Centre Back","27/12/1985","33","£0.27","07/11/2017","£0.27"
"Mathieu Valbuena","Fenerbahçe","Midfield","Attacking Midfielder/ Winger","28/09/1984","34","£0.27","07/11/2017","£0.27"
"Peter Crouch","Burnley","Forward","Centre Forward","30/01/1981","38","£0.27","08/11/2017","£0.27"
"Roberto Rosales","Espanyol","Goalkeeper/ Defender","Full back","20/11/1988","30","£0.23","08/11/2017","£0.28"
"Stefan Radu","Lazio","Goalkeeper/ Defender","Full back","22/10/1986","32","£0.27","09/11/2017","£0.27"
"Juan Jesus","Roma","Goalkeeper/ Defender","Centre Back","10/06/1991","28","£0.23","09/11/2017","£0.28"
"Jack Cork","Burnley","Midfield","Central Midfielder","25/06/1989","30","£0.23","09/11/2017","£0.27"
"Daley Blind","Ajax","Goalkeeper/ Defender","Centre Back","09/03/1990","29","£0.20","09/11/2017","£0.26"
"Geronimo Rulli","Real Sociedad","Goalkeeper/ Defender","Goalkeeper","20/05/1992","27","£0.17","10/11/2017","£0.27"
"Fernando Marcal","Lyon","Goalkeeper/ Defender","Full back","19/02/1989","30","£0.17","10/11/2017","£0.27"
"Tristan Dingome","Reims","Midfield","Central Midfielder","17/02/1991","28","£0.25","13/11/2017","£0.26"
"Robin Olsen","Roma","Goalkeeper/ Defender","Goalkeeper","08/01/1990","29","£0.20","13/11/2017","£0.25"
"Shinji Kagawa","Borussia Dortmund","Midfield","Attacking Midfielder/ Winger","17/03/1989","30","£0.27","16/11/2017","£0.27"
"Maxime Gonalons","Sevilla","Midfield","Central Midfielder","10/03/1989","30","£0.23","17/11/2017","£0.29"
"Oguzhan Ozyakup","Besiktas","Midfield","Central Midfielder","23/09/1992","26","£0.27","20/11/2017","£0.27"
"Benjamin Stambouli","Schalke","Goalkeeper/ Defender","Centre Back","13/08/1990","29","£0.27","20/11/2017","£0.27"
"Sofiane Feghouli","Galatasaray","Midfield","Attacking Midfielder/ Winger","26/12/1989","29","£0.27","20/11/2017","£0.27"
"Oscar de Marcos","Ath Bilbao","Goalkeeper/ Defender","Full back","14/04/1989","30","£0.23","20/11/2017","£0.27"
"Florian Niederlechner","Freiburg","Forward","Centre Forward","24/10/1990","28","£0.20","20/11/2017","£0.38"
"Roberto Soriano","Bologna","Midfield","Central Midfielder","08/02/1991","28","£0.23","21/11/2017","£0.27"
"Inigo Martinez","Ath Bilbao","Goalkeeper/ Defender","Centre Back","17/05/1991","28","£0.10","24/11/2017","£0.26"
"Cedric Bakambu","Villarreal","Forward","Centre Forward","11/04/1991","28","£0.17","24/11/2017","£0.27"
"Lorenzo Tonelli","Sampdoria","Goalkeeper/ Defender","Centre Back","17/01/1990","29","£0.23","27/11/2017","£0.27"
"Valerio Verre","Sampdoria","Midfield","Central Midfielder","11/01/1994","25","£0.13","01/12/2017","£0.28"
"Samuel Bastien","Standard Liège","Midfield","Central Midfielder","26/09/1996","22","£0.10","01/12/2017","£0.24"
"Marco Sau","Sampdoria","Forward","Second Striker/ Winger","03/12/1987","31","£0.27","07/12/2017","£0.27"
"Mile Svilar","Benfica","Goalkeeper/ Defender","Goalkeeper","27/08/1999","19","£0.17","07/12/2017","£0.26"
"Mamadou Sakho","Crystal Palace","Goalkeeper/ Defender","Centre Back","13/02/1990","29","£0.20","14/12/2017","£0.27"
"Sam Byram","West Ham United","Goalkeeper/ Defender","Full back","16/09/1993","25","£0.13","14/12/2017","£0.27"
"Christian Gunter","Freiburg","Goalkeeper/ Defender","Full back","28/02/1993","26","£0.17","04/01/2018","£0.28"
"Cameron Carter-Vickers","Tottenham","Goalkeeper/ Defender","Centre Back","31/12/1997","21","£0.13","08/01/2018","£0.26"
"Scott Sinclair","Celtic","Midfield","Second Striker/ Winger","25/03/1989","30","£0.20","09/01/2018","£0.26"
"Mohamed Elyounoussi","Southampton","Midfield","Attacking Midfielder/ Winger","04/08/1994","25","£0.13","10/01/2018","£0.25"
"Dale Stephens","Brighton","Midfield","Central Midfielder","12/06/1989","30","£0.27","10/01/2018","£0.27"
"Davy Propper","Brighton","Midfield","Central Midfielder","02/09/1991","27","£0.20","12/01/2018","£0.26"
"Zinedine Machach","Napoli","Midfield","Central Midfielder","05/01/1996","23","£0.27","17/01/2018","£0.27"
"Cuco Martina","Everton","Goalkeeper/ Defender","Full back","25/09/1989","29","£0.27","17/01/2018","£0.27"
"Marvin Zeegelaar","Udinese","Goalkeeper/ Defender","Full back","12/08/1990","29","£0.27","17/01/2018","£0.27"
"Iago Herrerin","Ath Bilbao","Goalkeeper/ Defender","Goalkeeper","25/01/1988","31","£0.13","18/01/2018","£0.23"
"Adama Mbengue","Caen","Goalkeeper/ Defender","Full back","01/12/1993","25","£0.27","19/01/2018","£0.27"
"Nicolas Andrade","Udinese","Goalkeeper/ Defender","Goalkeeper","12/04/1988","31","£0.27","25/01/2018","£0.27"
"Shane Long","Southampton","Forward","Centre Forward","22/01/1987","32","£0.20","26/01/2018","£0.27"
"Laurent Depoitre","Huddersfield","Forward","Centre Forward","07/12/1988","30","£0.27","29/01/2018","£0.27"
"Charles Traore","Nantes","Goalkeeper/ Defender","Full back","01/01/1992","27","£0.27","31/01/2018","£0.27"
"Papy Djilobodji","Guingamp","Goalkeeper/ Defender","Centre Back","01/12/1988","30","£0.27","01/02/2018","£0.27"
"Ashley Westwood","Burnley","Midfield","Central Midfielder","01/04/1990","29","£0.17","08/02/2018","£0.27"
"Cristian Ansaldi","Torino","Goalkeeper/ Defender","Full back","20/09/1986","32","£0.17","09/02/2018","£0.28"
"Cristiano Piccini","Valencia","Goalkeeper/ Defender","Full back","26/09/1992","26","£0.17","19/02/2018","£0.32"
"Ibai Gomez","Ath Bilbao","Midfield","Attacking Midfielder/ Winger","11/11/1989","29","£0.23","20/02/2018","£0.27"
"Berat Djimsiti","Atalanta","Goalkeeper/ Defender","Centre Back","19/02/1993","26","£0.13","01/03/2018","£0.26"
"Ryan Bennett","Wolves","Goalkeeper/ Defender","Centre Back","06/03/1990","29","£0.17","23/04/2018","£0.28"
"Borna Sosa","Stuttgart","Goalkeeper/ Defender","Full back","21/01/1998","21","£0.10","17/05/2018","£0.26"
"Ahmed Elmohamady","Hull City","Goalkeeper/ Defender","Full back","09/09/1987","31","£0.13","23/05/2018","£0.35"
"Giorgian De Arrascaeta","Other","Midfield","Attacking Midfielder/ Winger","01/06/1994","25","£0.10","24/05/2018","£0.31"
"Nicolas Gonzalez","Stuttgart","Forward","Second Striker/ Winger","06/04/1998","21","£0.13","13/06/2018","£0.36"
"Han Kwang Song","Cagliari","Forward","Centre Forward","11/09/1998","20","£0.17","13/06/2018","£0.28"
"Tim Ream","Fulham","Goalkeeper/ Defender","Centre Back","05/10/1987","31","£0.27","09/08/2018","£0.27"
"Kevin McDonald","Fulham","Midfield","Central Midfielder","04/11/1988","30","£0.27","09/08/2018","£0.27"
"Denis Odoi","Fulham","Goalkeeper/ Defender","Full back","27/05/1988","31","£0.27","09/08/2018","£0.27"
"Stefan Johansen","Fulham","Midfield","Central Midfielder","08/01/1991","28","£0.27","09/08/2018","£0.27"
"Callum Paterson","Cardiff City","Goalkeeper/ Defender","Full back","13/10/1994","24","£0.20","10/08/2018","£0.27"
"David Junior Hoilett","Cardiff City","Forward","Second Striker/ Winger","05/06/1990","29","£0.27","10/08/2018","£0.27"
"Thomas Fontaine","Reims","Goalkeeper/ Defender","Centre Back","08/05/1991","28","£0.27","29/08/2018","£0.27"
"Jean Zimmer","Fortuna Düsseldorf","Goalkeeper/ Defender","Full back","06/12/1993","25","£0.27","31/08/2018","£0.27"
"Andre Hoffmann","Fortuna Düsseldorf","Goalkeeper/ Defender","Centre Back","28/02/1993","26","£0.27","31/08/2018","£0.27"
"Davor Lovren","Fortuna Düsseldorf","Midfield","Attacking Midfielder/ Winger","03/10/1998","20","£0.23","31/08/2018","£0.26"
"Antonino La Gumina","Empoli","Forward","Centre Forward","06/03/1996","23","£0.23","04/09/2018","£0.26"
"Leo Stulac","Parma","Midfield","Defensive Midfielder/ Wingback","26/09/1994","24","£0.27","05/09/2018","£0.27"
"Raffaele Maiello","Frosinone","Midfield","Central Midfielder","10/07/1991","28","£0.27","06/09/2018","£0.27"
"Jose Pozo","Rayo Vallecano","Midfield","Attacking Midfielder/ Winger","15/03/1996","23","£0.17","10/09/2018","£0.26"
"Nayef Aguerd","Dijon","Goalkeeper/ Defender","Centre Back","30/03/1996","23","£0.20","17/09/2018","£0.27"
"Emre Akbaba","Galatasaray","Midfield","Attacking Midfielder/ Winger","04/10/1992","26","£0.27","27/09/2018","£0.27"
"Cristian Ramirez","FK Krasnodar","Goalkeeper/ Defender","Full back","12/08/1994","25","£0.27","01/10/2018","£0.27"
"Stefano Denswil","Club Brugge","Goalkeeper/ Defender","Centre Back","07/05/1993","26","£0.20","15/11/2018","£0.27"
"Juan Musso","Udinese","Goalkeeper/ Defender","Goalkeeper","06/05/1994","25","£0.23","30/11/2018","£0.27"
"David Costas","Celta","Goalkeeper/ Defender","Centre Back","26/03/1995","24","£0.27","04/01/2019","£0.27"
"Juan Ferney Otero","Amiens","Forward","Second Striker/ Winger","26/05/1995","24","£0.27","09/01/2019","£0.28"
"Kevin Zohi","Strasbourg","Midfield","Centre Forward","19/12/1996","22","£0.23","23/01/2019","£0.33"
"Junior Sambia","Montpellier","Midfield","Defensive Midfielder/ Wingback","07/09/1996","22","£0.23","23/01/2019","£0.27"
"Mehdi Zeffane","Rennes","Goalkeeper/ Defender","Full back","19/05/1992","27","£0.27","06/02/2019","£0.27"
"Jonathan de Guzman","Ein Frankfurt","Midfield","Central Midfielder","13/09/1987","31","£0.23","06/02/2019","£0.27"
"Hendrik Weydandt","Hannover","Forward","Centre Forward","16/07/1995","24","£0.23","11/02/2019","£0.27"
"Alan Browne","Other","Midfield","Attacking Midfielder/ Winger","15/04/1995","24","£0.17","08/03/2019","£0.27"
"Ryan Bertrand","Southampton","Goalkeeper/ Defender","Full back","05/08/1989","30","£0.08","","£0.25"
"Saido Berahino","Stoke City","Forward","Centre Forward","04/08/1993","26","£0.08","","£0.27"
"Gary Cahill","Chelsea","Goalkeeper/ Defender","Centre Back","19/12/1985","33","£0.08","","£0.29"
"Andrea Masiello","Atalanta","Midfield","Centre Back","05/02/1986","33","£0.20","03/11/2017","£0.29"
"Adam Smith","Bournemouth","Goalkeeper/ Defender","Full back","29/04/1991","28","£0.17","03/11/2017","£0.26"
"Robert Huth","Leicester City","Goalkeeper/ Defender","Centre Back","18/08/1984","35","£0.25","07/11/2017","£0.26"
"Pere Pons","Girona","Midfield","Central Midfielder","20/02/1993","26","£0.23","08/11/2017","£0.26"
"Etrit Berisha","Atalanta","Goalkeeper/ Defender","Goalkeeper","10/03/1989","30","£0.13","09/11/2017","£0.26"
"Alfie Mawson","Fulham","Goalkeeper/ Defender","Centre Back","19/01/1994","25","£0.17","10/11/2017","£0.26"
"Yuri Kendysh","Sheriff","Midfield","Defensive Midfielder/ Wingback","10/06/1990","29","£0.25","13/11/2017","£0.26"
"Kevin Akpoguma","Hannover","Goalkeeper/ Defender","Centre Back","19/04/1995","24","£0.25","13/11/2017","£0.26"
"Dominic Maroh","FC Koln","Goalkeeper/ Defender","Centre Back","04/03/1987","32","£0.25","13/11/2017","£0.26"
"Cristian Battocchio","M. Tel-Aviv","Midfield","Central Midfielder","10/02/1992","27","£0.25","13/11/2017","£0.26"
"Diego Rico","Bournemouth","Goalkeeper/ Defender","Full back","23/02/1993","26","£0.13","13/11/2017","£0.24"
"Marvin Plattenhardt","Hertha","Goalkeeper/ Defender","Full back","26/01/1992","27","£0.13","14/11/2017","£0.26"
"Danilo Cataldi","Lazio","Midfield","Central Midfielder","06/08/1994","25","£0.13","14/11/2017","£0.28"
"Mateo Musacchio","AC Milan","Goalkeeper/ Defender","Centre Back","26/08/1990","28","£0.23","15/11/2017","£0.26"
"Emanuel Mammana","Zenit","Goalkeeper/ Defender","Centre Back","10/02/1996","23","£0.17","15/11/2017","£0.27"
"Zakaria Bakkali","Anderlecht","Midfield","Attacking Midfielder/ Winger","26/01/1996","23","£0.17","15/11/2017","£0.26"
"Neto","Valencia","Goalkeeper/ Defender","Goalkeeper","19/07/1989","30","£0.17","17/11/2017","£0.25"
"Adam Nagy","Bologna","Midfield","Central Midfielder","17/06/1995","24","£0.13","17/11/2017","£0.42"
"Ramiro Funes Mori","Villarreal","Goalkeeper/ Defender","Centre Back","05/03/1991","28","£0.23","20/11/2017","£0.27"
"Gabriel Pires","Benfica","Midfield","Central Midfielder","18/09/1993","25","£0.23","20/11/2017","£0.26"
"Marko Dmitrovic","Eibar","Goalkeeper/ Defender","Goalkeeper","24/01/1992","27","£0.13","22/11/2017","£0.25"
"Sergio Asenjo","Villarreal","Goalkeeper/ Defender","Goalkeeper","28/06/1989","30","£0.17","23/11/2017","£0.27"
"Viktor Kovalenko","Shakhtar Donetsk","Midfield","Attacking Midfielder/ Winger","14/02/1996","23","£0.10","24/11/2017","£0.27"
"Nemanja Maksimovic","Getafe","Midfield","Central Midfielder","26/01/1995","24","£0.12","24/11/2017","£0.26"
"Islam Slimani","Fenerbahçe","Forward","Centre Forward","18/06/1988","31","£0.27","27/11/2017","£0.28"
"Lucas Boye","AEK","Forward","Centre Forward","28/02/1996","23","£0.20","29/11/2017","£0.26"
"Lorenzo De Silvestri","Torino","Goalkeeper/ Defender","Full back","23/05/1988","31","£0.20","30/11/2017","£0.27"
"Viktor Fischer","København","Forward","Second Striker/ Winger","09/06/1994","25","£0.17","30/11/2017","£0.24"
"Riechedly Bazoer","Porto","Midfield","Defensive Midfielder/ Wingback","12/10/1996","22","£0.17","01/12/2017","£0.27"
"Gabriel Paulista","Valencia","Goalkeeper/ Defender","Centre Back","26/11/1990","28","£0.23","06/12/2017","£0.26"
"Sergio Leon","Betis","Forward","Centre Forward","06/01/1989","30","£0.17","14/12/2017","£0.30"
